Полное наименование лицензиата;Сокращенное наименование;Организационно-правовая форма;Адрес места нахождения;ОГРН;ИНН;Номер телефона;Адрес электронной почты;Регион
"""СТВ"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ";ООО СТВ;Общества с ограниченной ответственностью;671701, РЕСПУБЛИКА БУРЯТИЯ, Г. СЕВЕРОБАЙКАЛЬСК, ПР-КТ ЛЕНИНГРАДСКИЙ, Д.7, 314-А, 401;1020300796229;0317002737;8-914-899-15-10;Ioganson@yandex.ru;республика бурятия
"""ИСТОК"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ";"""ИСТОК"" ООО";Общества с ограниченной ответственностью;368219, РЕСПУБЛИКА ДАГЕСТАН, БУЙНАКСКИЙ Р-Н, С. ЧИРКЕЙ, УЛ. ИМАМА ШАМИЛЯ, Д. 23;1020500715377;0507020170;(989) 483-17-77;muhtar1937@mail.ru;республика дагестан
"""ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КСИЛИМ""";"ООО ""КС""";Общества с ограниченной ответственностью;666682, ИРКУТСКАЯ ОБЛАСТЬ, Г. УСТЬ-ИЛИМСК, УЛ. БЕЛГРАДСКАЯ, Д.4;1023802005292;3817017430;8 (914) 899-15-10;ioganson@yandex.ru;иркутская область
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОБРАЗОВАТЕЛЬНАЯ ОРГАНИЗАЦИЯ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ЦЕНТР ОБРАЗОВАНИЯ И РАЗВИТИЯ""";"АНОО ДО ""ЦОР""";Автономные некоммерческие организации;690014, ПРИМОРСКИЙ КРАЙ, Г ВЛАДИВОСТОК, УЛ ГОГОЛЯ, Д. 39А;1112500001734;2536970156;(4232) 404-175;galina.gerasimova@vvsu.ru;приморский край
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ДУХОВНО - ПРОСВЕТИТЕЛЬСКИЙ ЦЕНТР ""ГРАД КРЕСТА""";"ДПЦ ""ГРАД КРЕСТА""";Автономные некоммерческие организации;355017, СТАВРОПОЛЬСКИЙ КРАЙ, Г СТАВРОПОЛЬ, УЛ ДЗЕРЖИНСКОГО, Д. 157;1182651002379;2635233322;+7 962 000-00-74;alsk07@mail.ru;ставропольский край
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ИНСТИТУТ ИНЖЕНЕРНОЙ ФИЗИКИ""";"АНО ""ИНСТИТУТ ИНЖЕНЕРНОЙ ФИЗИКИ""";Организационно-правовые формы юридических лиц, являющихся некоммерческими корпоративными организациями;142210, МОСКОВСКАЯ ОБЛАСТЬ, городской округ СЕРПУХОВ, Г СЕРПУХОВ, ПЕР БОЛЬШОЙ УДАРНЫЙ, Д. 1А, СТР. 1;1225000027108;5043075306;+7 (496) 712-80-00;zamutku@mail.ru;московская область
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ИНФОРМАЦИОННЫЙ ТЕЛЕКАНАЛ ""ХИБИНЫ ТВ""";"АНО ""ИНФОРМАЦИОННЫЙ ТЕЛЕКАНАЛ ""ХИБИНЫ ТВ""";Автономные некоммерческие организации;184207, МУРМАНСКАЯ ОБЛАСТЬ, Г АПАТИТЫ, УЛ ДЗЕРЖИНСКОГО, ВЛД. 35;1105100000136;5101701996;(921) 153-09-09;ishitova@phosagro.ru;мурманская область
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""МЕДИАЦЕНТР ""САЛЕХАРД""";"АНО ""МЕДИАЦЕНТР ""САЛЕХАРД""";Автономные некоммерческие организации;629007, ЯМАЛО-НЕНЕЦКИЙ АВТОНОМНЫЙ ОКРУГ, городской округ ГОРОД САЛЕХАРД, Г САЛЕХАРД, УЛ Н.САНДАЛОВА, ВЛД. 2, ОФИС 107;1218900002529;8901040388;+7 (34922) 3-08-88;nwsv@mail.ru;ямало-ненецкий автономный округ
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""МЕЖОТРАСЛЕВОЙ ПРОИЗВОДСТВЕННО-ТЕХНИЧЕСКИЙ ЦЕНТР""";"АНО ""МПТЦ""";Автономные некоммерческие организации;121374, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ МОЖАЙСКИЙ, Ш МОЖАЙСКОЕ, Д. 8;1227700012671;9731087807;+7 (495) 440-36-75;mptc@kpmptc.ru;г.москва
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""МЖК-ТЕЛЕКОМ""";"АНО ""МЖК-ТЕЛЕКОМ""";Автономные некоммерческие организации;124536, Г.МОСКВА, Г. ЗЕЛЕНОГРАД, Д.528, КОМН. 8;1037735018243;7735124622;(495)510-33-22;in@mjk-telecom.ru;г.москва
